Name,VizPic,Link
@philipdriggs,https://pbs.twimg.com/media/DZPZRe3XkAYiS5r.jpg:large,https://public.tableau.com/profile/philip.riggs#!/vizhome/MakeoverMonday2018week13WhatistheUKsfavoritechocolatebar/Dashboard1?publish=yes
@peterempey,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/5/506cf824a6bfcd2de815a597a792614bbf21c7c1.png,https://public.tableau.com/profile/peter.empey#!/vizhome/week13UKsfavoritechocolatebar/TopChocolateBars
@chithresh,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/1/1dc4ef1c0be115c97d7eb15e128d702a4c57433a.jpg,http://olympics.yellowfin.bi/yellowfin/RunReport.i4?reportUUID=c2888658-431e-42d9-8a68-2d26b7a31074&primaryOrg=1&clientOrg=1
@colinjhendricks,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/2/20002faf28adfd94ca98cf6ced46f14334b53684.jpg,
@susanjg1,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/4/4eb3fdad8c54370fe38fb0e44e0822a93ac32f80.jpg,https://public.tableau.com/profile/susan.glass5813#!/vizhome/UKChocolate/UKChocolate?publish=yes
@hafeezkhan,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/c/c202707da21b6d4ff58af436a37a07e19b6257af.png,
@bitfernsteve,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/1/11644eef6d433f0d92d93ab92cb184f7511846f5.jpg,https://public.tableau.com/profile/steve7374#!/vizhome/UKsfavouritechocolatebars/DASH
@nilsm,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/b/bfa48bf08d2e0561bac80f9b856b277ed48cdde4.png,https://public.tableau.com/views/MM_CW13/MM_CW13?:embed=y&:display_count=yes&publish=yes
@bizualisation,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/b/b4d5a483e8adaa027dc5c452a11ba6f95d1932af.png,https://public.tableau.com/profile/andy4447#!/vizhome/TheUKsfavouritechocolate/UKsFavourite
@fiedja,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/f/f825f25552e13abb1b76f2463370fa5ba7dc5de8.jpg,
